"Event","Donor Code","Donor Name","Donated To","Donated To Date Of Gift","Donated To Gift Value"
"2025 Federal Election","51277","ACY Securities Pty Ltd","YIN, Andy","18/02/2025","2400"
"2025 Federal Election","51277","ACY Securities Pty Ltd","YIN, Andy","01/04/2025","20000"
"2025 Federal Election","51277","ACY Securities Pty Ltd","YIN, Andy","14/04/2025","15000"
"2025 Federal Election","51277","ACY Securities Pty Ltd","YIN, Andy","01/05/2025","15000"
"2025 Federal Election","50133","Allen, Roger","STEGGALL, Zali","05/05/2025","30000"
"2025 Federal Election","45690","Allira Holdings Pty Ltd","SPENDER, Allegra May","27/11/2024","20000"
"2025 Federal Election","44987","Badger, Keith and Debby","DANIEL, Zoe","20/09/2024","10000"
"2025 Federal Election","44987","Badger, Keith and Debby","DANIEL, Zoe","25/02/2025","400"
"2025 Federal Election","44987","Badger, Keith and Debby","DANIEL, Zoe","12/03/2025","10000"
"2025 Federal Election","44987","Badger, Keith and Debby","DANIEL, Zoe","05/04/2025","3500"
"2025 Federal Election","44987","Badger, Keith and Debby","DANIEL, Zoe","03/05/2025","1668"
"2025 Federal Election","51173","bell, leonie","BOELE, Nicolette","11/12/2024","20000"
"2025 Federal Election","51173","bell, leonie","CHANEY, Katherine Ella","30/01/2025","10000"
"2025 Federal Election","51173","bell, leonie","DANIEL, Zoe","23/01/2025","10000"
"2025 Federal Election","51173","bell, leonie","HEISE, Carolyn Gai","04/12/2024","20000"
"2025 Federal Election","51173","bell, leonie","RYAN, Monique Marie","14/02/2025","10000"
"2025 Federal Election","51173","bell, leonie","SCAMPS, Sophie Anna","23/02/2025","10000"
"2025 Federal Election","51173","bell, leonie","SMITH, Eleanor","19/02/2025","20000"
"2025 Federal Election","51173","bell, leonie","SPENDER, Allegra May","23/01/2025","10000"
"2025 Federal Election","51173","bell, leonie","STEGGALL, Zali","14/02/2025","10000"
"2025 Federal Election","51234","Briggs, Franklin","RYAN, Monique Marie","07/03/2025","5000"
"2025 Federal Election","51234","Briggs, Franklin","RYAN, Monique Marie","23/03/2025","5000"
"2025 Federal Election","51234","Briggs, Franklin","RYAN, Monique Marie","24/03/2025","10000"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","03/04/2025","735"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","03/04/2025","700"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","10/04/2025","1716"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","11/04/2025","400"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","11/04/2025","300"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","14/04/2025","200"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","14/04/2025","326"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","14/04/2025","524"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","14/04/2025","328"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","16/04/2025","5417"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","16/04/2025","2612"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","25/04/2025","590"
"2025 Federal Election","51247","Britton, Sharon","BRITTON, Benjamin John","26/04/2025","139"
