"Event","Media ID","Name","Business Name","Return Type","Total Amount"
"2004 Federal Election","5097","1 ART","Artsound FM","Broadcaster","0"
"2004 Federal Election","4134","100.3FM (2NEB-FM)","New England Broadcasters Pty Ltd","Broadcaster","3625"
"2004 Federal Election","861","100.9 Sea FM","Tasmanian FM Stereo Pty Ltd","Broadcaster","5881"
"2004 Federal Election","5281","100.9FM","WA Aboriginal Media Association","Broadcaster","0"
"2004 Federal Election","4309","1008 AM","Tasradio Pty Ltd","Broadcaster","1452"
"2004 Federal Election","4811","101.7 2DRY FM","Broken Hill FM Association Inc","Broadcaster","0"
"2004 Federal Election","5080","101.7 Sea FM Burnie","Tasmanian Radio Network","Broadcaster","1097"
"2004 Federal Election","5054","101.7 WSFM","ARN Communications","Broadcaster","132337"
"2004 Federal Election","4377","101.9 Sea FM Fraser Coast","Maryborough Broadcasting Co Pty Ltd","Broadcaster","3001"
"2004 Federal Election","4320","102.3 3BA","Radio Ballarat Pty Ltd","Broadcaster","3835"
"2004 Federal Election","5090","102.5 Classic Rock","Rich Rivers Radio Pty Ltd","Broadcaster","4606"
"2004 Federal Election","5052","102.7 4CA FM","Macquarie Regional Radioworks","Broadcaster","204"
"2004 Federal Election","5079","103.1 Power FM","Radio Ballarat Pty Ltd","Broadcaster","2935"
"2004 Federal Election","5034","103.5 Hot FM","Macquarie Regional Radioworks","Broadcaster","204"
"2004 Federal Election","4447","103.5 Mix FM Fraser Coast","Maryborough Broadcasting Co Pty Ltd","Broadcaster","4430"
"2004 Federal Election","4394","104.1 2DAY FM","Austereo Pty Ltd","Broadcaster","107080"
"2004 Federal Election","5071","104.1 Top FM","","Broadcaster","6187"
"2004 Federal Election","1120","104.9 Triple M Sydney","Triple M Broadcasting Co Pty Ltd, The","Broadcaster","81057"
"2004 Federal Election","4176","105.1 2GZ FM - Orange","Macquarie Regional Radioworks Pty Ltd","Broadcaster","4286"
"2004 Federal Election","5362","105.9FM 2NVR","Nambucca Valley Radio 2NVR","Broadcaster","0"
"2004 Federal Election","5237","107.3 FM","Tas Radio Pty Ltd","Broadcaster","1678"
"2004 Federal Election","5164","107.3 Life FM","Christian Air Broadcasters","Broadcaster","550"
"2004 Federal Election","5081","107.3FM Magic","Tasmanian Radio Network","Broadcaster","8128"
"2004 Federal Election","4530","107.7 Sea FM Devenport","Tasmanian Broadcaster Pty Ltd","Broadcaster","3370"
"2004 Federal Election","4843","107.9 Life Fm 5RAM","Christian Radio Inc","Broadcaster","0"
"2004 Federal Election","4532","1080 6IX (Perth Radio)","Radio Perth Pty Ltd","Broadcaster","7407"
"2004 Federal Election","5240","1080 AM","Tas Radio Pty Ltd","Broadcaster","2105"
"2004 Federal Election","4526","1098 7LA","Tasmanian Radio Network","Broadcaster","21950"
"2004 Federal Election","4090","1116 AM","West Coast Radio Pty Ltd","Broadcaster","11683"
"2004 Federal Election","4160","1188 2NZ","Northern Broadcasters Pty Ltd","Broadcaster","3238"
"2004 Federal Election","5216","1242 3GV","Ace Radio Broadcasters Pty Ltd","Broadcaster","12449"
"2004 Federal Election","4363","1278 3AW","3AW Southern Cross Radio Pty Ltd","Broadcaster","87846"
"2004 Federal Election","4164","1287 2TM","Tamworth Radio Development Co Pty Ltd","Broadcaster","5162"
"2004 Federal Election","4127","1332 3SH","Ace RAdio Broadcasters Pty Ltd - 3SH AM1332","Broadcaster","4345"
"2004 Federal Election","5019","1332 4BU","Bundaberg Broadcasters Pty Ltd","Broadcaster","11571"
"2004 Federal Election","4265","1350 2LF","Radio 2LF Pty Ltd","Broadcaster","3432"
"2004 Federal Election","4498","1449 2MG","Mudgee Broadcasting Company Pty Ltd","Broadcaster","1850"
"2004 Federal Election","4465","1503 2BS Gold","Bathurst Broadcasters Pty Ltd","Broadcaster","3073"
"2004 Federal Election","4505","1521 2QN","Rich Rivers Radio Pty Ltd","Broadcaster","2409"
"2004 Federal Election","4426","1CBR - Mix106.3","Canberra FM Radio Pty Ltd","Broadcaster","24726"
"2004 Federal Election","5235","1VFM","Valley FM Broadcasters Association Inc","Broadcaster","0"
"2004 Federal Election","4805","1WAY FM","Canberra Christian Radio Limited","Broadcaster","105"
"2004 Federal Election","5153","2 ROC","Campbelltown Radio Pty Ltd","Broadcaster","21007"
"2004 Federal Election","4132","2AD","New England Broadcasters Pty Ltd","Broadcaster","3325"
"2004 Federal Election","4402","2AIR FM","Holiday Coast Community Radio Inc","Broadcaster","0"
"2004 Federal Election","5227","2BAY FM","Bay FM Community Radio Incorporated","Broadcaster","2502"
"2004 Federal Election","4358","2BDR","Goulburn & Border Broadcasters Pty Ltd","Broadcaster","4695"
"2004 Federal Election","4441","2BH","Radio Outback Pty Ltd","Broadcaster","1115"
"2004 Federal Election","4342","2BOB - 104.5","Manning Media Cooperative","Broadcaster","0"
"2004 Federal Election","5095","2BRW","Braidwood FM Incc","Broadcaster","0"
"2004 Federal Election","4421","2CA","Radio Canberra Pty Ltd t/a Radio 2CA","Broadcaster","17770"
"2004 Federal Election","4339","2CBA (FM 103.2)","Christian Broadcasting Association Ltd","Broadcaster","0"
"2004 Federal Election","5278","2CBD","Deepwater and Districts Community FM","Broadcaster","0"
"2004 Federal Election","4420","2CC","Radio Canberra Pty Ltd t/a Radio 2CC","Broadcaster","19910"
"2004 Federal Election","4259","2CH","Radio 2CH Pty Ltd","Broadcaster","13599"
"2004 Federal Election","4889","2CHR FM","CHR FM","Broadcaster","0"
"2004 Federal Election","5316","2CS","Commercial Radio Coffs Harbour","Broadcaster","5082"
"2004 Federal Election","5293","2CUZFM","Muda Aboriginal Corporation","Broadcaster","0"
"2004 Federal Election","4085","2CVC","Clarence Valley Christian Broadcasters Inc.","Broadcaster","110"
"2004 Federal Election","4429","2DU","Western Broadcasters Pty Ltd","Broadcaster","1847"
"2004 Federal Election","5196","2EZY","Lithgow Community Broadcasters Inc","Broadcaster","0"
"2004 Federal Election","4258","2GB","Harbour Radio Pty Ltd","Broadcaster","46014"
"2004 Federal Election","4230","2GF","2GF Radio Pty Ltd","Broadcaster","12743"
"2004 Federal Election","5294","2GGG","2MO Gunnedah Pty Ltd","Broadcaster","1440"
"2004 Federal Election","5122","2GLF- 89.3 FM","Liverpool Green Valley Community Radio Co-operative","Broadcaster","0"
"2004 Federal Election","5051","2GN","Radio Goulburn Pty Ltd","Broadcaster","13880"
"2004 Federal Election","5143","2GO 107.7","Central Coast Radio Pty Ltd","Broadcaster","89231"
"2004 Federal Election","5224","2HayFM 92.1","Hay Community Radio Inc","Broadcaster","308"
"2004 Federal Election","4576","2HD 1143","2HD Broadcasters Pty Ltd","Broadcaster","36369"
"2004 Federal Election","4443","2HIM","Peel Valley Christian Broadcasters Inc","Broadcaster","0"
"2004 Federal Election","4813","2HOT FM","Cobar Community Radio","Broadcaster","0"
"2004 Federal Election","4117","2LM","Richmond River Broadcasters Pty Ltd","Broadcaster","21661"
"2004 Federal Election","4096","2LRR","Lightning Ridge Community Radio Inc.","Broadcaster","0"
"2004 Federal Election","4291","2LT","Midwest Radio Ltd","Broadcaster","5703"
"2004 Federal Election","5274","2LVR (97.9 Valley FM)","Lachlan Valley Community Radio Inc","Broadcaster","0"
"2004 Federal Election","4352","2MC FM","Mid Coast Broadcasters Pty Ltd","Broadcaster","12563"
"2004 Federal Election","4815","2MCR 100.3FM","2MCR 100.3 FM","Broadcaster","275"
"2004 Federal Election","5297","2MFM","Muslim Community Radio Incorporated","Broadcaster","0"
"2004 Federal Election","5236","2MIA FM","Griffith Community FM Ass","Broadcaster","0"
"2004 Federal Election","4379","2MN","Radio 97AM: Tweed Radio & Broadcasting Co Pty Ltd","Broadcaster","58529"
"2004 Federal Election","4315","2MO","2MO Gunnedah Pty Ltd","Broadcaster","1440"
"2004 Federal Election","4304","2NCR FM","North Coast Radio Inc","Broadcaster","0"
"2004 Federal Election","5089","2NIM","Nimbin Independent Media","Broadcaster","0"
"2004 Federal Election","4818","2NM","Radio Hunter Valley Pty Ltd","Broadcaster","2310"
"2004 Federal Election","4561","2NOW FM","Moree Broadcasting & Development Co Pty Ltd","Broadcaster","3555"
"2004 Federal Election","4819","2NSB FM99.3","Northside Broacasting Co-operative","Broadcaster","0"
"2004 Federal Election","4270","2OCB","Orange Community Broadcasters Inc","Broadcaster","0"
"2004 Federal Election","4494","2OOO","Multicultrual Community Radio Assoc Ltd","Broadcaster","4180"
